"";"cod_ente";"anno";"codice_gestionale";"imp_uscite_att";"data_inc_siope";"data_esc_siope";"cod_fiscale";"descr_ente";"cod_comune";"cod_provincia";"num_abitanti";"sottocomparto_siope";"id";"imp_per_cap"
"1";11116619;2014;1101;725205,56;"2007-01-01";"9999-12-31";144460250;"COMUNE DI LIVINALLONGO DEL COL DI LANA";30;25;1364;"COMUNE";4781;531,68
"2";15887356;2014;1102;10450,44;"2007-01-01";"9999-12-31";80005530250;"COMUNE DI SELVA DI CADORE";54;25;516;"COMUNE";8043;20,25
"3";15887356;2014;1103;54526,78;"2007-01-01";"9999-12-31";80005530250;"COMUNE DI SELVA DI CADORE";54;25;516;"COMUNE";8043;105,67
"4";34666;2014;1104;40484,09;"2007-01-01";"9999-12-31";197180250;"COMUNE DI SAN NICOLO' DI COMELICO";46;25;407;"COMUNE";544;99,47
"5";37019;2014;1105;39608,1;"2007-01-01";"9999-12-31";207190257;"COMUNE DI SAPPADA";52;25;1306;"COMUNE";600;30,33
"6";31824;2014;1106;32649,01;"2007-01-01";"9999-12-31";185980257;"COMUNE DI VIGO DI CADORE";65;25;1480;"COMUNE";494;22,06
"7";12804532;2014;1107;1124,67;"2007-01-02";"9999-12-31";206240251;"COMUNE DI CIBIANA DI CADORE";13;25;422;"COMUNE";8019;2,67
"8";12804532;2014;1109;10770,28;"2007-01-02";"9999-12-31";206240251;"COMUNE DI CIBIANA DI CADORE";13;25;422;"COMUNE";8019;25,52
"9";11117516;2014;1110;9283,32;"2007-01-01";"9999-12-31";212310254;"COMUNE DI OSPITALE DI CADORE";35;25;315;"COMUNE";4961;29,47
"10";11116619;2014;1111;210185,13;"2007-01-01";"9999-12-31";144460250;"COMUNE DI LIVINALLONGO DEL COL DI LANA";30;25;1364;"COMUNE";4781;154,09
"11";36972;2014;1112;9357,6;"2007-01-02";"9999-12-31";207040254;"COMUNE DI FONZASO";22;25;3286;"COMUNE";598;2,85
"12";11116619;2014;1113;25863,8;"2007-01-01";"9999-12-31";144460250;"COMUNE DI LIVINALLONGO DEL COL DI LANA";30;25;1364;"COMUNE";4781;18,96
"13";11116132;2014;1114;17492,91;"2007-01-01";"9999-12-31";87640256;"COMUNE DI CORTINA D'AMPEZZO";16;25;5931;"COMUNE";4649;2,95
"14";36672;2014;1115;17880,33;"2007-01-01";"9999-12-31";205960255;"COMUNE DI TRICHIANA";61;25;4877;"COMUNE";587;3,67
"15";15887356;2014;1121;4505,88;"2007-01-01";"9999-12-31";80005530250;"COMUNE DI SELVA DI CADORE";54;25;516;"COMUNE";8043;8,73
"16";37357;2014;1124;17518,69;"2007-01-02";"9999-12-31";208410258;"COMUNE DI PUOS D'ALPAGO";41;25;2550;"COMUNE";609;6,87
"17";26517;2014;1131;2379,47;"2007-01-02";"9999-12-31";166110254;"COMUNE DI MEL";34;25;6078;"COMUNE";394;0,39
"18";11142129;2014;1133;1180,94;"2007-01-01";"9999-12-31";83000710257;"COMUNE DI AURONZO DI CADORE";5;25;3416;"COMUNE";7317;0,35
"19";31822;2014;1201;20264,9;"2007-01-01";"9999-12-31";185970258;"COMUNE DI LOZZO DI CADORE";33;25;1485;"COMUNE";493;13,65
"20";11116619;2014;1202;162579,63;"2007-01-01";"9999-12-31";144460250;"COMUNE DI LIVINALLONGO DEL COL DI LANA";30;25;1364;"COMUNE";4781;119,19
"21";22054;2014;1203;7193,99;"2007-01-01";"9999-12-31";149750259;"COMUNE DI RIVAMONTE AGORDINO";43;25;652;"COMUNE";351;11,03
"22";11116824;2014;1204;49014,59;"2007-01-01";"9999-12-31";161060256;"COMUNE DI SOVRAMONTE";58;25;1483;"COMUNE";4818;33,05
"23";15887356;2014;1205;5071,67;"2007-01-01";"9999-12-31";80005530250;"COMUNE DI SELVA DI CADORE";54;25;516;"COMUNE";8043;9,83
"24";36813;2014;1206;260200,98;"2007-01-01";"9999-12-31";206480253;"COMUNE DI CHIES D'ALPAGO";12;25;1412;"COMUNE";594;184,28
